Window size: 100
Server error Rate: 1000
expRTT,jitter,timeoutValue
0,1.0E8,1.0,100000000
21482731,9.0185341375E7,1.717565334375E7,158887954
21380559,8.1584743578125E7,2.793278615234375E7,193315888
32417537,7.543884275585938E7,3.1704916053222656E7,202258506
31859803,6.999146278637695E7,3.331160198651123E7,203237870
32218127,6.5269795813079834E7,3.324661869315338E7,198256270
32115373,6.1125492961444855E7,3.218749401022625E7,189875469
32015411,5.748673271626425E7,3.050845093673575E7,179520536
31576836,5.424799562673122E7,2.8549128109234616E7,168444508
31691373,5.1428417798389815E7,2.6346107281523414E7,156812846
31821287,4.897752644859109E7,2.4048640323290333E7,145172087
32393259,4.69044930175172E7,2.166428874684705E7,133561648
32808729,4.514252251532755E7,1.9331664938967176E7,122469182
39874776,4.4484054200911604E7,1.5651068254453283E7,107088327
41323138,4.4088939675797656E7,1.2429751609789375E7,93807946
44842605,4.418314784132295E7,9487177.997011295,82131859
44773873,4.425698848615758E7,7244604.626219075,73235406
44081901,4.423510255038788E7,5471753.857261277,66122117
44632776,4.42848117315894E7,4190806.4600486076,61048037
44747676,4.434266976514073E7,3244356.4037512736,57320095
44583516,4.437277554449814E7,2485952.416688921,54316585
45035940,4.445567110143587E7,2009531.5371577232,52493797
45155745,4.454318033875638E7,1660289.8181791967,51184339
45580613,4.4672859421411835E7,1472155.7582814388,50561482
45687654,4.479970874373536E7,1326103.1327772397,50104121
45434120,4.487901015076844E7,1133354.8118908205,49412429
54555591,4.608858275692238E7,2966768.1696875207,57955655
54682704,4.716284791230708E7,4105040.1491888696,63583008
59930784,4.87588399232687E7,5871766.131074478,72245904
58292073,4.995049405786011E7,6489219.33384083,75907371
59730093,5.11729439256276E7,7006201.768973723,79197751
59831662,5.225528368492415E7,7148745.905499255,80850267
59938490,5.321568447430863E7,7042260.810547283,81384727
58808024,5.3914726915020056E7,6505019.879155448,79934806
59125071,5.456601992564255E7,6018527.677955948,78640130
58474243,5.505454780993723E7,5368819.555982653,76529826
59234413,5.557703095869508E7,4940960.177313221,75340871
60190459,5.6153709463858195E7,4714907.517020367,75013339
61025554,5.676269003087592E7,4601896.630046295,75170276
59785853,5.714058540201643E7,4112739.3720306135,73591542
60078319,5.750780210176438E7,3727183.7535818648,72416537
61172517,5.796589146404383E7,3597044.1991754402,72354068
60852205,5.832668065603835E7,3329164.2353719925,71643337
60218456,5.856315257403356E7,2910699.033020605,70205948
61306342,5.890605125227936E7,2783096.961695613,70038439
60982823,5.9165647720744446E7,2541616.541085598,69332113
61082117,5.940520638065139E7,2325440.0606513508,68706966
59828993,5.9458179708069965E7,1836783.3684710218,66805313
78429553,6.182960136956122E7,5527575.433962962,83939903
78321819,6.389112857336607E7,7753354.182130704,94904545
77591113,6.560362662669531E7,8811887.2299242,100851175
77511787,6.7092146673358396E7,9213825.50410355,103947448
77424679,6.83837132141886E7,9170610.574530512,105066155
80297107,6.987288743741503E7,9484012.821544126,107808938
77823882,7.086676175773816E7,8852289.676723555,106275920
80216513,7.203548066302088E7,8684475.341787446,106773382
