Window size: 5
Server error Rate: 2
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
9.0529068E7,1.657413175E7,156825595
8.096556025E7,2.9166737375E7,197632509
8.096556025E7,2.9166737375E7,395265018
8.096556025E7,2.9166737375E7,500000000
8.096556025E7,2.9166737375E7,500000000
7.196089234375E7,3.76332218671875E7,222493779
6.430697117578125E7,4.161927844433594E7,230784084
6.0132923778808594E7,3.85190417779541E7,214209090
5.639443818145752E7,3.5431631128829956E7,198120962
5.639443818145752E7,3.5431631128829956E7,396241924
5.639443818145752E7,3.5431631128829956E7,500000000
5.091048365877533E7,3.61706437613163E7,195593058
5.091048365877533E7,3.61706437613163E7,391186116
5.091048365877533E7,3.61706437613163E7,500000000
4.592405995142841E7,3.585422430884433E7,189340957
4.592405995142841E7,3.585422430884433E7,378681914
4.592405995142841E7,3.585422430884433E7,500000000
4.189644070749986E7,3.393900190850821E7,177652448
3.847764861906238E7,3.1437137586146753E7,164226198
3.541998191667958E7,2.892876991877996E7,151135061
3.541998191667958E7,2.892876991877996E7,302270122
3.541998191667958E7,2.892876991877996E7,500000000
3.541998191667958E7,2.892876991877996E7,500000000
3.3072032677094635E7,2.580548860835863E7,136293987
3.0689947467457805E7,2.3522765573133424E7,124781009
2.908805903402558E7,2.0445378938356463E7,110869574
2.908805903402558E7,2.0445378938356463E7,221739148
2.908805903402558E7,2.0445378938356463E7,443478296
2.7032869529772382E7,1.8930615836210445E7,102755332
2.7032869529772382E7,1.8930615836210445E7,205510664
2.7032869529772382E7,1.8930615836210445E7,411021328
2.5176348588550836E7,1.7446873524295542E7,94963842
2.381204413998198E7,1.5472687928217154E7,85702795
2.3153966497484233E7,1.2756151820533924E7,74178573
2.3153966497484233E7,1.2756151820533924E7,148357146
2.3153966497484233E7,1.2756151820533924E7,296714292
2.3153966497484233E7,1.2756151820533924E7,500000000
2.1928224185298704E7,1.1712162911725119E7,68776875
2.0902005662136365E7,1.058000459932793E7,63222024
2.0309482579369318E7,8971918.844338275,56197157
2.0309482579369318E7,8971918.844338275,112394314
2.0309482579369318E7,8971918.844338275,224788628
1.9249062256948154E7,8584674.697490744,53587761
1.9249062256948154E7,8584674.697490744,107175522
1.9249062256948154E7,8584674.697490744,214351044
1.8656515724829637E7,7475462.454325467,48558365
1.893609725922593E7,6095864.525937618,43319555
1.864033435182269E7,5089483.482408886,38998268
1.864033435182269E7,5089483.482408886,77996536
1.864033435182269E7,5089483.482408886,155993072
1.864033435182269E7,5089483.482408886,311986144
1.8409049932844855E7,4221860.345017878,35296491
1.820529656623925E7,3522963.650323221,32297151
1.820529656623925E7,3522963.650323221,64594302
1.820529656623925E7,3522963.650323221,129188604
1.779407449545934E7,3361861.3616072508,31241519
