Window size: 10
Server error Rate: 5
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.97729465E7,1.7897344375E7,161362324
8.12588173125E7,2.8322734359375E7,194549754
7.39584940234375E7,3.4017616525390625E7,210028960
6.699277189550781E7,3.770322611791992E7,217805676
6.1484349158569336E7,3.7917159378082275E7,213152986
5.611198976374817E7,3.783949847449875E7,207469983
5.154750329327965E7,3.636747517919397E7,197017404
4.771408038161969E7,3.39840964798004E7,183650466
4.351648845891723E7,3.283385822457961E7,174851921
4.080355052655257E7,2.9373035050072853E7,158295690
3.86278514607335E7,2.5837249652738016E7,141976850
3.86278514607335E7,2.5837249652738016E7,283953700
3.86278514607335E7,2.5837249652738016E7,500000000
3.518132990314181E7,2.5409349965338964E7,136818729
3.518132990314181E7,2.5409349965338964E7,273637458
3.2469046165249087E7,2.3803509015316494E7,127683082
3.0030950019592952E7,2.211930001638561E7,118508150
2.8168445267143834E7,1.9848858329075165E7,107563878
2.6699703733750854E7,1.745694143024409E7,96527469
2.5798941017031997E7,1.4669040826941065E7,84475104
2.5013561014902998E7,1.237619562393155E7,74518343
2.428538713804012E7,1.0556451002458692E7,66511191
2.4059188995785106E7,8313185.000790295,57311928
2.4288699621311966E7,6636532.34526473,50834829
2.349036541864797E7,6374484.1136105405,48988301
2.3271819741316974E7,5163318.020537149,43925091
2.3271819741316974E7,5163318.020537149,87850182
2.3271819741316974E7,5163318.020537149,175700364
2.1744662898652352E7,6545012.99006595,47924714
2.1744662898652352E7,6545012.99006595,95849428
2.036666716132081E7,7320252.282879665,49647676
