Window size: 5
Server error Rate: 2
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.922733525E7,1.88521640625E7,164635991
7.958622171875E7,3.10110717265625E7,203630508
7.958622171875E7,3.10110717265625E7,407261016
7.958622171875E7,3.10110717265625E7,500000000
7.958622171875E7,3.10110717265625E7,500000000
7.155318012890625E7,3.731612657714844E7,220817686
6.446585736279297E7,4.038990977355957E7,226025496
5.780129506744385E7,4.195541634703064E7,225622960
5.194754330901337E7,4.171062783752632E7,218790054
5.194754330901337E7,4.171062783752632E7,437580108
5.194754330901337E7,4.171062783752632E7,500000000
4.6843121395386696E7,4.0215709226991415E7,207705958
4.6843121395386696E7,4.0215709226991415E7,415411916
4.6843121395386696E7,4.0215709226991415E7,500000000
4.232283697096336E7,3.80722796629844E7,194611955
4.232283697096336E7,3.80722796629844E7,389223910
4.232283697096336E7,3.80722796629844E7,500000000
3.845523009959294E7,3.532252177213654E7,179745317
3.513015271214382E7,3.231077675713836E7,164373259
3.2125111873125844E7,2.9491904036135234E7,150092728
3.2125111873125844E7,2.9491904036135234E7,300185456
3.2125111873125844E7,2.9491904036135234E7,500000000
3.2125111873125844E7,2.9491904036135234E7,500000000
2.9842389263985112E7,2.6113692593097705E7,134297159
2.7210617105986975E7,2.4190870721320026E7,123974099
2.5330002842738602E7,2.1434228001674667E7,111066914
2.5330002842738602E7,2.1434228001674667E7,222133828
2.5330002842738602E7,2.1434228001674667E7,444267656
2.3574161362396277E7,1.914839359185507E7,100167735
2.3574161362396277E7,1.914839359185507E7,200335470
2.3574161362396277E7,1.914839359185507E7,400670940
2.1992671067096744E7,1.712890321066549E7,90508283
2.067419655870965E7,1.515400779767653E7,81290227
1.9492430488870945E7,1.3433596470475134E7,73226816
1.9492430488870945E7,1.3433596470475134E7,146453632
1.9492430488870945E7,1.3433596470475134E7,292907264
1.9492430488870945E7,1.3433596470475134E7,500000000
1.8805413927762076E7,1.1277476334796868E7,63915319
1.9150698811791815E7,9062355.798149697,55400122
1.907139146031784E7,6935554.713691733,46813610
1.907139146031784E7,6935554.713691733,93627220
1.907139146031784E7,6935554.713691733,187254440
1.808711790277811E7,6924144.760963327,45783696
1.808711790277811E7,6924144.760963327,91567392
1.808711790277811E7,6924144.760963327,183134784
1.7172629664930847E7,6793462.986955207,44346481
1.644416608181449E7,6369908.510670028,41923800
1.6199095071587678E7,5206305.65089944,37024317
1.6199095071587678E7,5206305.65089944,74048634
1.6199095071587678E7,5206305.65089944,148097268
1.6199095071587678E7,5206305.65089944,296194536
1.5653657687639218E7,4859244.6600843845,35090636
1.5075445476684315E7,4656304.864234367,33700664
1.4597106042098776E7,4329322.65870047,31914396
1.4597106042098776E7,4329322.65870047,63828792
1.4597106042098776E7,4329322.65870047,127657584
1.4556624161836429E7,3317835.2844844596,27827965
1.4556624161836429E7,3317835.2844844596,55655930
1.4556624161836429E7,3317835.2844844596,111311860
1.4257085641606875E7,3012568.8737650635,26307361
1.3902258186406016E7,2880374.701925302,25423756
1.3870740663105264E7,2215436.6922202925,22732487
1.3870740663105264E7,2215436.6922202925,45464974
1.3870740663105264E7,2215436.6922202925,90929948
1.3870740663105264E7,2215436.6922202925,181859896
1.4001995830217106E7,1891274.0616109427,21567092
1.3690504226439968E7,1963565.852818199,21544767
1.4021990448134972E7,2052775.2775799064,22233091
1.4021990448134972E7,2052775.2775799064,44466182
1.4021990448134972E7,2052775.2775799064,88932364
1.4021990448134972E7,2052775.2775799064,177864728
1.34217570171181E7,2589989.9624644546,23781716
1.34217570171181E7,2589989.9624644546,47563432
1.3134762889978338E7,2444732.194342925,22913691
1.3350577528731046E7,2211224.7635744326,22195476
1.3538654962639665E7,1987554.0820209081,21488871
1.3538654962639665E7,1987554.0820209081,42977742
1.3538654962639665E7,1987554.0820209081,85955484
1.3538654962639665E7,1987554.0820209081,171910968
1.3287698717309708E7,1929838.990843108,21007054
1.3020656877645994E7,1914702.4625438293,20679466
1.2793267267940244E7,1833958.663892933,20129101
1.2793267267940244E7,1833958.663892933,40258202
1.2793267267940244E7,1833958.663892933,80516404
1.2793267267940244E7,1833958.663892933,161032808
1.2570775734447714E7,1764829.1815316281,19630092
1.2570775734447714E7,1764829.1815316281,39260184
1.254596226764175E7,1367045.4530591583,18014144
1.251578298418653E7,1078097.8358410012,16828174
1.251578298418653E7,1078097.8358410012,33656348
1.2632852236163214E7,1013444.5678399475,16686630
1.2632852236163214E7,1013444.5678399475,33373260
1.2632852236163214E7,1013444.5678399475,66746520
1.3393536831642812E7,2091281.4679692576,21758662
1.3496468477687461E7,1748591.481555078,20490834
1.3496468477687461E7,1748591.481555078,40981668
1.3496468477687461E7,1748591.481555078,81963336
1.3496468477687461E7,1748591.481555078,163926672
1.2852389042976528E7,2438582.6219104407,22606719
1.2544489537604462E7,2367761.100833946,22015533
1.2544489537604462E7,2367761.100833946,44031066
1.2502555220403904E7,1849205.8807264355,19899378
1.2502555220403904E7,1849205.8807264355,39798756
1.2502555220403904E7,1849205.8807264355,79597512
1.2408262942853415E7,1551915.8962581805,18615926
