Window size: 10
Server error Rate: 3
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.90191625E7,1.9216466375E7,165885028
7.97411874375E7,3.0648806140625E7,202336412
7.16863710078125E7,3.7082533357421875E7,220016504
6.460169075683594E7,4.021009045727539E7,225442052
5.8368542412231445E7,4.1065577446014404E7,222630852
5.2792892235702515E7,4.055657089343643E7,215019175
4.79500360812397E7,3.889242644038725E7,203519741
4.79500360812397E7,3.889242644038725E7,407039482
4.79500360812397E7,3.889242644038725E7,500000000
4.79500360812397E7,3.889242644038725E7,500000000
4.328202194608474E7,3.733834456681162E7,192635400
3.9166369702824146E7,3.520614985081475E7,179990969
3.596005273997113E7,3.2015667073103845E7,164022721
3.336999489747474E7,2.8544351529196568E7,147547401
3.0816145160290398E7,2.5877500686970025E7,134326147
2.85489315152541E7,2.3375749394041043E7,122051929
2.85489315152541E7,2.3375749394041043E7,244103858
2.6954053825847335E7,2.0322848001992613E7,108245445
2.6954053825847335E7,2.0322848001992613E7,216490890
2.6954053825847335E7,2.0322848001992613E7,432981780
2.498349397261642E7,1.8690615744648565E7,99745956
2.498349397261642E7,1.8690615744648565E7,199491912
2.3162101976039365E7,1.7205397802496266E7,91983693
2.1707139854034446E7,1.545023206538081E7,83508068
2.042698612228014E7,1.3827943079605643E7,75738758
1.936598210699512E7,1.2227714336453013E7,68276839
1.8392431843620732E7,1.0874498713244943E7,61890426
1.8392431843620732E7,1.0874498713244943E7,123780852
1.8392431843620732E7,1.0874498713244943E7,247561704
1.7428934238168143E7,9841994.844475742,56796913
1.7428934238168143E7,9841994.844475742,113593826
1.6758558208397124E7,8554654.185456088,50977174
1.6182988182347484E7,7423238.184678936,45875940
1.560152940955405E7,6584981.490897715,41941455
1.5279360108359793E7,5502532.395263234,37289489
1.5521212469814818E7,4550140.928993721,33721776
1.6315891661087966E7,4803294.2814732995,35529068
1.6315891661087966E7,4803294.2814732995,71058136
1.6315891661087966E7,4803294.2814732995,142116272
1.6315891661087966E7,4803294.2814732995,284232544
1.573251395345197E7,4623381.699467967,34226040
1.5157673584270474E7,4473506.920668594,33051701
1.5157673584270474E7,4473506.920668594,66103402
1.4543609011236664E7,4429743.193310611,32262581
1.424995025983208E7,3836210.2099409783,29594791
1.431086872735307E7,2983764.9756174665,26245928
1.4439465136433937E7,2462867.4476046157,24290934
1.4367260369379696E7,1973508.9280483858,22261296
1.4169195323207233E7,1826745.5268380977,21476177
1.401277440780633E7,1643795.7470801556,20587957
1.401277440780633E7,1643795.7470801556,41175914
1.401277440780633E7,1643795.7470801556,82351828
1.401277440780633E7,1643795.7470801556,164703656
1.3652042231830537E7,1864128.118267751,21108554
1.332152507785172E7,1976501.1081637433,21227529
1.332152507785172E7,1976501.1081637433,42455058
1.332152507785172E7,1976501.1081637433,84910116
1.3007358693120256E7,2032167.0044028715,21136026
1.3007358693120256E7,2032167.0044028715,42272052
1.2718142981480224E7,2030252.7486722097,20839153
1.2569741733795196E7,1782391.7449529562,19699308
1.2550919892070796E7,1369732.0317324162,18029848
1.2599244280561946E7,1111866.7036588257,17046711
1.2574322870491702E7,877512.4953670448,16084372
1.250583901168024E7,777981.1244453436,15617763
1.245576451022021E7,671116.2208890601,15140229
1.2519956446442682E7,615673.0540561245,14982648
1.2519956446442682E7,615673.0540561245,29965296
1.2519956446442682E7,615673.0540561245,59930592
1.2519956446442682E7,615673.0540561245,119861184
1.2303502890637347E7,840548.5132014302,15665696
1.2122123779307678E7,947824.8297279922,15913423
1.2122123779307678E7,947824.8297279922,31826846
1.2122123779307678E7,947824.8297279922,63653692
1.1995909181894219E7,931744.1677695487,15722885
