Window size: 5
Server error Rate: 5
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.99359185E7,1.7612143375E7,160384492
8.11668978125E7,2.8554893734375E7,195386472
7.29040279609375E7,3.5876192541015625E7,216408798
6.521361121582031E7,4.03653737097168E7,226675106
5.843303818884277E7,4.214003307949829E7,226993170
5.248867979023743E7,4.2007652007183075E7,220519287
4.746979231645775E7,4.028879208450174E7,208624960
4.746979231645775E7,4.028879208450174E7,417249920
4.746979231645775E7,4.028879208450174E7,500000000
4.297140452690053E7,3.808877269510144E7,195326495
3.901738533603796E7,3.548611310533557E7,180961837
3.5575892794033214E7,3.2637196777509984E7,166124679
3.255761244477906E7,2.975988819432725E7,151597165
2.9872530639181677E7,2.7018809305540856E7,137947767
2.7565538059283968E7,2.4301343993976634E7,124770914
2.582024305187347E7,2.1280274258450843E7,110941340
2.4017155545389287E7,1.9115608830185454E7,100479590
2.4017155545389287E7,1.9115608830185454E7,200959180
2.4017155545389287E7,1.9115608830185454E7,401918360
2.2277140477215625E7,1.7381732991942994E7,91804072
