Window size: 10
Server error Rate: 3
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.9423271875E7,1.850927496875E7,163460371
7.9762323265625E7,3.078861629296875E7,202916788
7.140733798242188E7,3.771268646533203E7,222258083
6.404049210961914E7,4.117649512640381E7,228746472
5.749053684591675E7,4.234479305628204E7,226869709
5.1751240115177155E7,4.180236407100582E7,218960696
4.677374347578001E7,4.006239217219937E7,207023312
4.677374347578001E7,4.006239217219937E7,414046624
4.677374347578001E7,4.006239217219937E7,500000000
4.677374347578001E7,4.006239217219937E7,500000000
4.228001216630751E7,3.79108239207264E7,193923307
3.832734227051907E7,3.535029025817457E7,179728503
3.4887063111704186E7,3.2533206221556973E7,165019887
3.1864197597741164E7,2.9689919315603018E7,150623874
2.926087102302352E7,2.6823260992458142E7,136553914
2.696642539514558E7,2.4132725593130004E7,123497327
2.696642539514558E7,2.4132725593130004E7,246994654
2.503908759575238E7,2.14723853437856E7,110928628
2.503908759575238E7,2.14723853437856E7,221857256
2.503908759575238E7,2.14723853437856E7,443714512
2.3276861271283332E7,1.918818507566003E7,100029601
2.3276861271283332E7,1.918818507566003E7,200059202
2.1582025737372916E7,1.7357100991088253E7,91010429
2.1582025737372916E7,1.7357100991088253E7,182020858
2.0348873270201303E7,1.5175842560866514E7,81052243
